,year,region,total_of_accidents,total_of_dead,total_of_injured,driving_licese,latitude,longitude
193,2007,Riyadh,,,,36261,23.0814341634,45.5857512766
194,2007,Tabouk,,,,11045,27.90165499,37.2598581394
195,2008,Al-Baha,,,,5418,20.1484058503,41.4665484892
196,2008,Al-Jouf,,,,10929,29.9677445762,39.5570371172
197,2008,Al-Qaseem,,,,22236,26.1967063704,43.3429998455
198,2008,Assir,,,,18800,19.1387847401,42.941470036
199,2008,Eastern,,,,104626,23.2883307307,50.1478302439
200,2008,Hail,,,,7413,27.400845724,41.4406960508
201,2008,Jazan,,,,11346,17.2072313962,42.6525807422
202,2008,Madinah,,,,9194,24.927534539,39.4918237173
203,2008,Makkah,,,,77013,21.628962766,41.2636898334
204,2008,Najran,,,,7938,18.4511003068,46.8688495726
205,2008,Northern Boarder,,,,3519,30.197074783,41.8171186952
206,2008,Riyadh,,,,36798,23.0814341634,45.5857512766
207,2008,Tabouk,,,,14928,27.90165499,37.2598581394
208,2009,Al-Baha,,,,9815,20.1484058503,41.4665484892
209,2009,Al-Jouf,,,,10567,29.9677445762,39.5570371172
210,2009,Al-Qaseem,,,,27571,26.1967063704,43.3429998455
211,2009,Assir,,,,21582,19.1387847401,42.941470036
212,2009,Eastern,,,,108544,23.2883307307,50.1478302439
213,2009,Hail,,,,7282,27.400845724,41.4406960508
214,2009,Jazan,,,,9437,17.2072313962,42.6525807422
215,2009,Madinah,,,,11574,24.927534539,39.4918237173
216,2009,Makkah,,,,112045,21.628962766,41.2636898334
217,2009,Najran,,,,6771,18.4511003068,46.8688495726
218,2009,Northern Boarder,,,,3649,30.197074783,41.8171186952
219,2009,Riyadh,,,,38014,23.0814341634,45.5857512766
220,2009,Tabouk,,,,9424,27.90165499,37.2598581394
221,2010,Al-Baha,,,,7076,20.1484058503,41.4665484892
222,2010,Al-Jouf,,,,10937,29.9677445762,39.5570371172
223,2010,Al-Qaseem,,,,36737,26.1967063704,43.3429998455
224,2010,Assir,,,,21835,19.1387847401,42.941470036
225,2010,Eastern,,,,110295,23.2883307307,50.1478302439
226,2010,Hail,,,,7637,27.400845724,41.4406960508
227,2010,Jazan,,,,12270,17.2072313962,42.6525807422
228,2010,Madinah,,,,15045,24.927534539,39.4918237173
229,2010,Makkah,,,,113531,21.628962766,41.2636898334
230,2010,Najran,,,,6360,18.4511003068,46.8688495726
231,2010,Northern Boarder,,,,3064,30.197074783,41.8171186952
232,2010,Riyadh,,,,31378,23.0814341634,45.5857512766
233,2010,Tabouk,,,,10345,27.90165499,37.2598581394
234,2011,Al-Baha,,,,6450,20.1484058503,41.4665484892
235,2011,Al-Jouf,,,,10180,29.9677445762,39.5570371172
236,2011,Al-Qaseem,,,,10760,26.1967063704,43.3429998455
237,2011,Assir,,,,24515,19.1387847401,42.941470036
238,2011,Eastern,,,,151087,23.2883307307,50.1478302439
239,2011,Hail,,,,9123,27.400845724,41.4406960508
240,2011,Jazan,,,,10946,17.2072313962,42.6525807422
241,2011,Madinah,,,,14630,24.927534539,39.4918237173
242,2011,Makkah,,,,110647,21.628962766,41.2636898334
243,2011,Najran,,,,7314,18.4511003068,46.8688495726
244,2011,Northern Boarder,,,,4314,30.197074783,41.8171186952
245,2011,Riyadh,,,,27772,23.0814341634,45.5857512766
246,2011,Tabouk,,,,12820,27.90165499,37.2598581394
247,2012,Al-Baha,,,,7593,20.1484058503,41.4665484892
248,2012,Al-Jouf,,,,10246,29.9677445762,39.5570371172
249,2012,Al-Qaseem,,,,11421,26.1967063704,43.3429998455
250,2012,Assir,,,,23136,19.1387847401,42.941470036
251,2012,Eastern,,,,129971,23.2883307307,50.1478302439
252,2012,Hail,,,,11082,27.400845724,41.4406960508
253,2012,Jazan,,,,11156,17.2072313962,42.6525807422
254,2012,Madinah,,,,14459,24.927534539,39.4918237173
255,2012,Makkah,,,,143954,21.628962766,41.2636898334
256,2012,Najran,,,,9201,18.4511003068,46.8688495726
257,2012,Northern Boarder,,,,3706,30.197074783,41.8171186952
258,2012,Riyadh,,,,23888,23.0814341634,45.5857512766
259,2012,Tabouk,,,,11391,27.90165499,37.2598581394
260,2013,Al-Baha,,,,7482,20.1484058503,41.4665484892
261,2013,Al-Jouf,,,,11602,29.9677445762,39.5570371172
262,2013,Al-Qaseem,,,,17889,26.1967063704,43.3429998455
263,2013,Assir,,,,29730,19.1387847401,42.941470036
264,2013,Eastern,,,,123325,23.2883307307,50.1478302439
265,2013,Hail,,,,9731,27.400845724,41.4406960508
266,2013,Jazan,,,,14175,17.2072313962,42.6525807422
267,2013,Madinah,,,,28513,24.927534539,39.4918237173
268,2013,Makkah,,,,131108,21.628962766,41.2636898334
269,2013,Najran,,,,8996,18.4511003068,46.8688495726
270,2013,Northern Boarder,,,,3921,30.197074783,41.8171186952
271,2013,Riyadh,,,,165994,23.0814341634,45.5857512766
272,2013,Tabouk,,,,12848,27.90165499,37.2598581394
273,2014,Al-Baha,,,,7268,20.1484058503,41.4665484892
274,2014,Al-Jouf,,,,9982,29.9677445762,39.5570371172
275,2014,Al-Qaseem,,,,29113,26.1967063704,43.3429998455
276,2014,Assir,,,,29552,19.1387847401,42.941470036
277,2014,Eastern,,,,121774,23.2883307307,50.1478302439
278,2014,Hail,,,,10417,27.400845724,41.4406960508
279,2014,Jazan,,,,15621,17.2072313962,42.6525807422
280,2014,Madinah,,,,31447,24.927534539,39.4918237173
281,2014,Makkah,,,,149234,21.628962766,41.2636898334
282,2014,Najran,,,,9601,18.4511003068,46.8688495726
283,2014,Northern Boarder,,,,5009,30.197074783,41.8171186952
284,2014,Riyadh,,,,194208,23.0814341634,45.5857512766
285,2014,Tabouk,,,,12188,27.90165499,37.2598581394
286,2015,Al-Baha,,,,4856,20.1484058503,41.4665484892
287,2015,Al-Jouf,,,,10233,29.9677445762,39.5570371172
288,2015,Al-Qaseem,,,,13631,26.1967063704,43.3429998455
289,2015,Assir,,,,38567,19.1387847401,42.941470036
290,2015,Eastern,,,,135752,23.2883307307,50.1478302439
291,2015,Hail,,,,7172,27.400845724,41.4406960508
292,2015,Jazan,,,,13931,17.2072313962,42.6525807422
293,2015,Madinah,,,,22744,24.927534539,39.4918237173
294,2015,Makkah,,,,157389,21.628962766,41.2636898334
295,2015,Najran,,,,1864,18.4511003068,46.8688495726
296,2015,Northern Boarder,,,,3837,30.197074783,41.8171186952
297,2015,Riyadh,,,,24548,23.0814341634,45.5857512766
298,2015,Tabouk,,,,915,27.90165499,37.2598581394
299,2016,Al-Baha,3618.0,185.0,1227.0,4614,20.1484058503,41.4665484892
300,2016,Al-Jouf,10212.0,245.0,920.0,9371,29.9677445762,39.5570371172
301,2016,Al-Qaseem,25664.0,397.0,1513.0,9180,26.1967063704,43.3429998455
302,2016,Assir,32684.0,983.0,2541.0,41367,19.1387847401,42.941470036
303,2016,Eastern,101619.0,1113.0,4893.0,142307,23.2883307307,50.1478302439
304,2016,Hail,10199.0,299.0,932.0,54507,27.400845724,41.4406960508
305,2016,Jazan,25873.0,514.0,2259.0,11504,17.2072313962,42.6525807422
306,2016,Madinah,14475.0,822.0,4184.0,24540,24.927534539,39.4918237173
307,2016,Makkah,134838.0,2243.0,12383.0,136055,21.628962766,41.2636898334
308,2016,Najran,3235.0,173.0,706.0,2153,18.4511003068,46.8688495726
